"X","id","title","type","description","release_year","age_certification","runtime","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","sport","war","animation","family","action","western","european","reality","thriller","crime","comedy","documentation","fantasy","scifi","romance","horror","history","music"
36,"tm155787","GoodFellas","MOVIE","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990,"R",145,"['US']",NA,"tt0099685",8.7,1131681,50.387,8.463,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,"tm145608","Awakenings","MOVIE","Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",1990,"PG-13",120,"['US']",NA,"tt0099077",7.8,139240,12.23,7.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,"tm152839","Tim Allen: Men Are Pigs","MOVIE","Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.",1990,"",30,"['US']",NA,"tt0259057",6.1,360,2.482,6.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
66,"tm159912","Agneepath","MOVIE","The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?",1990,"",174,"['IN']",NA,"tt0098999",7.6,8947,4.062,6.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
71,"tm157603","Dil","MOVIE","Raja lives a poor lifestyle along with his dad, Hazariprasad and mom. He attends college where he has several run-ins with wealthy fellow-collegian, Madhu Mehra. Matters escalate to such an extent that she accuses him of sexually molesting her. When his dad comes to know, he decides to seize this chance to get rich quickly, masquerades as a wealthy businessman, approaches Mr. Mehra, and arranges for their children to get married. Murphy's law prevails at the time of the engagement - changing everyone's lives forever.",1990,"",172,"['IN']",NA,"tt0099429",6.6,5316,3.992,6.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
74,"tm157853","In Defense of a Married Man","MOVIE","When a defense lawyer's adulterous husband becomes the prime suspect in the murder of the woman he was cheating with, his wife chooses to defend him. Can she overcome his betrayal while searching for the truth?",1990,"",94,"['US']",NA,"tt0099396",5.6,207,2.444,4.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,"tm147829","Unspeakable Acts","MOVIE","Two psychologist try to demonstrate that a man is a pedophile and has abused many children.",1990,"",100,"['US']",NA,"tt0100848",6.1,464,2.075,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"tm107744","Mission: Impossible","MOVIE","When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",1996,"PG-13",110,"['US']",NA,"tt0117060",7.1,420673,41.115,6.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
94,"tm15897","Se7en","MOVIE","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995,"R",127,"['US']",NA,"tt0114369",8.6,1606270,51.633,8.352,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
96,"tm191013","Boogie Nights","MOVIE","Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",1997,"R",156,"['US']",NA,"tt0118749",7.9,261563,20.436,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"tm122434","Forrest Gump","MOVIE","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994,"PG-13",142,"['US']",NA,"tt0109830",8.8,2021343,63.449,8.478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,"tm43808","The Talented Mr. Ripley","MOVIE","Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.",1999,"R",139,"['US']",NA,"tt0134119",7.4,207524,13.78,7.2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
102,"tm191110","Titanic","MOVIE","101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",1997,"PG-13",194,"['US']",NA,"tt0120338",7.9,1146825,155.683,7.878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
104,"tm192037","Starship Troopers","MOVIE","Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".",1997,"R",129,"['US']",NA,"tt0120201",7.3,291452,29.5,6.993,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
106,"tm113513","Dumb and Dumber","MOVIE","Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",1994,"PG-13",107,"['US']",NA,"tt0109686",7.3,379999,31.852,6.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108,"tm192405","Gattaca","MOVIE","In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.",1997,"PG-13",106,"['US']",NA,"tt0119177",7.8,300701,17.789,7.553,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
109,"tm116655","Léon: The Professional","MOVIE","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",1994,"R",111,"['US', 'FR']",NA,"tt0110413",8.5,1137357,51.406,8.323,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
111,"tm116488","Natural Born Killers","MOVIE","Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.",1994,"R",118,"['US']",NA,"tt0110632",7.3,11,21.933,7.1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
112,"tm11556","The Quick and the Dead","MOVIE","A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",1995,"R",107,"['JP', 'US']",NA,"tt0114214",6.5,93767,13.056,6.5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
113,"tm56574","You've Got Mail","MOVIE","Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.",1998,"PG",119,"['US']",NA,"tt0128853",6.7,211635,21.724,6.643,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
115,"tm53991","Big Daddy","MOVIE","A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",1999,"PG-13",93,"['US']",NA,"tt0142342",6.4,215053,26.848,6.45,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
116,"tm49178","Vampires","MOVIE","The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.",1998,"R",104,"['US']",NA,"tt0120877",6.1,58670,10.108,6.3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
118,"tm191989","Donnie Brasco","MOVIE","An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.",1997,"R",127,"['US']",NA,"tt0119008",7.7,303868,22.225,7.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
122,"tm121879","A River Runs Through It","MOVIE","A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.",1992,"PG",123,"['US']",NA,"tt0105265",7.2,59854,19.58,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"tm44402","Girl, Interrupted","MOVIE","Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",1999,"R",127,"['DE', 'US']",NA,"tt0172493",7.3,183154,20.424,7.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,"tm187187","Last Action Hero","MOVIE","Following the death of his father, young Danny Madigan takes comfort in watching action movies featuring the indestructible Los Angeles cop Jack Slater. After being given a magic ticket by theater manager Nick, Danny is sucked into the screen and bonds with Slater. When evil fictional villain Benedict gets his hands on the ticket and enters the real world, Danny and Jack must follow and stop him.",1993,"PG-13",131,"['US']",NA,"tt0107362",6.4,150498,22.196,6.379,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
126,"tm6859","My Girl","MOVIE","Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...",1991,"PG",103,"['US']",NA,"tt0102492",6.9,80590,20.545,7.4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
127,"tm118238","Wyatt Earp","MOVIE","Covering the life and times of one of the West's most iconic heroes Wyatt Earp weaves an intricate tale of Earp and his friends and family. With a star studded cast, sweeping cinematography and authentic costumes Wyatt Earp led the way during the Western revival in the 90's.",1994,"PG-13",191,"['US']",NA,"tt0111756",6.7,50774,14.677,6.751,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
128,"tm111163","Eraser","MOVIE","U.S. Marshall John Kruger erases the identities of people enrolled in the Witness Protection Program. His current assignment is to protect Lee Cullen, who's uncovered evidence that the weapons manufacturer she works for has been selling to terrorist groups. When Kruger discovers that there's a corrupt agent within the program, he must guard his own life while trying to protect Lee's.",1996,"R",115,"['US', 'CA']",NA,"tt0116213",6.1,110921,19.437,6,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
129,"tm190835","Neon Genesis Evangelion: The End of Evangelion","MOVIE","The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",1997,"",87,"['JP']",NA,"tt0169858",8,53152,32.569,8.4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
130,"tm192769","Vegas Vacation","MOVIE","The Griswold family hits the road again for a typically ill-fated vacation, this time to the glitzy mecca of slots and showgirls—Las Vegas.",1997,"PG",94,"['US']",NA,"tt0120434",5.9,49377,12.537,6.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131,"tm187791","In the Line of Fire","MOVIE","Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.",1993,"R",128,"['US']",NA,"tt0107206",7.2,102916,19.8,6.973,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
132,"tm113576","Little Women","MOVIE","With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,"PG",115,"['US']",NA,"tt0110367",7.3,58178,13.683,7.314,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,"tm65686","U.S. Marshals","MOVIE","U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.",1998,"PG-13",131,"['US']",NA,"tt0120873",6.5,105286,24.205,6.5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
135,"tm191387","Anaconda","MOVIE","A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",1997,"PG-13",89,"['PE', 'US', 'BR']",NA,"tt0118615",4.8,104213,34.405,5.1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
138,"tm191772","Seven Years in Tibet","MOVIE","Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.",1997,"PG-13",136,"['US']",NA,"tt0120102",7.1,142903,13.766,7.2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
139,"tm12499","The Net","MOVIE","Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down and make her the target of an assassination.",1995,"PG-13",114,"['US']",NA,"tt0113957",5.9,66667,15.935,6,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
140,"tm186589","Cliffhanger","MOVIE","A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",1993,"R",112,"['IT', 'US', 'FR']",NA,"tt0106582",6.5,128972,27.78,6.5,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
141,"tm189764","Menace II Society","MOVIE","A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.",1993,"R",97,"['US']",NA,"tt0107554",7.5,58179,13.928,7.542,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
142,"tm10739","Johnny Mnemonic","MOVIE","In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1995,"R",97,"['CA', 'US']",NA,"tt0113481",5.6,71563,10.75,5.7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
143,"tm1822","3 Ninjas Kick Back","MOVIE","During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",1994,"PG",93,"['JP', 'US']",NA,"tt0109015",4.5,9321,12.603,5.5,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
144,"tm55369","Edge of Seventeen","MOVIE","From Toni Basil to the Eurythmics, from friendship bracelets to whip-it's, the summer of 1984 was about as 80s as the 80s ever got. Stuck right in the middle of it is Eric Hunter, heading towards his senior year, and passing the summer working at a local amusement park in the fast food restaurant. He is joined by his long time girl/friend Maggie, as they don their ugly brown polyester uniforms and face the world.",1998,"R",104,"['US']",NA,"tt0138414",6.8,6549,6.276,6.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
146,"tm192431","The Devil's Own","MOVIE","Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",1997,"R",107,"['US']",NA,"tt0962637",6.2,65323,12.863,6.1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
148,"tm192199","Spawn","MOVIE","After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",1997,"PG-13",96,"['US']",NA,"tt0120177",5.2,68184,16.989,5.343,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
150,"tm56033","Croupier","MOVIE","Jack Manfred is an aspiring writer who to make ends meet, takes a job as a croupier. Jack remains an observer, knowing that everything in life is a gamble and that gamblers are born to lose. Inevitably, he gets sucked into the world of the casino which takes its toll on his relationships and the novel he is writing.",1998,"R",94,"['IE', 'GB', 'DE', 'FR']",NA,"tt0159382",7,21599,8.381,6.8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
152,"tm117488","The Next Karate Kid","MOVIE","Mr. Miyagi decides to take Julie, a troubled teenager, under his wing after he learns that she blames herself for her parents' demise and struggles to adjust with her grandmother and fellow pupils.",1994,"PG",107,"['US']",NA,"tt0110657",4.5,30422,20.185,5.318,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
153,"tm190811","Geronimo: An American Legend","MOVIE","The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, while reclaiming what is rightfully theirs.",1993,"PG-13",115,"['US']",NA,"tt0107004",6.5,11709,8.136,6.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
154,"tm191431","Double Team","MOVIE","He's a one-man arsenal... with enough voltage to rock the free world. They Don't Play by the Rules. You're either on their side...or in their way. America's top counter-terrorist usually works alone...this time he's got company.",1997,"R",93,"['HK', 'US']",NA,"tt0119013",4.8,34396,14.599,5.1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
155,"tm10811","Heavy","MOVIE","Victor is a cook who works in a greasy bar/restaurant owned by his mother, Dolly. It's just the two of them, a waitress named Delores, and a heavy drinking regular, Leo. But things change when Callie, a beautiful college drop-out, shows up as a new waitress and steals Victor's heart. But Victor is too shy to do anything about it, and too self-consciously overweight to dream of winning Callie away.",1995,"R",105,"['US']",NA,"tt0113280",6.8,5047,3.308,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
